As of Date,Fund,Trustee Fund Number,Trustee Fund Name,Donor Code,Donor Name ,Donor Agency,Fiscal Year of Agreement,Contributions Paid In (USD),Contributions Outstanding (USD),Total Contribution (USD),Status
09/12/2012,GGFR,TF050954,Multi Donor Trust Fund for Financing of the Global Gas Flaring Reduction Partnership,DK,Denmark,Maersk Olie og Gas A/S,2009,$116666.00,$0.00,$116666.00,ACTN
09/12/2012,VN-FS,TF071163,"Multi Donor Trust Fund for co-financing the Sixth, Seventh, Eighth, Ninth and Tenth Poverty Reduction Support Operations PRSCs 6-10",NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2009,$7573800.00,$0.00,$7573800.00,ACTN
09/12/2012,COM+,TF054639,"Multi Donor Trust Fund for COM+, Alliance of Communicators for Sustainable Development",DK,Denmark,Denmark  - Royal Ministry of Foreign Affairs,2009,$294892.46,$0.00,$294892.46,ACTN
09/12/2012,DRF,TF071179,Multi Donor Trust Fund for Commercial Debt Reduction Program for Liberia,GB,United Kingdom,United Kingdom - Department for International Development (DFID),2009,$5000000.00,$0.00,$5000000.00,LCLS
09/12/2012,DRF,TF071179,Multi Donor Trust Fund for Commercial Debt Reduction Program for Liberia,I1,International Bank for Reconstruction & Development,"IBRD 1818 H Street, NW",2009,$17246613.00,$0.00,$17246613.00,LCLS
09/12/2012,DRF,TF071179,Multi Donor Trust Fund for Commercial Debt Reduction Program for Liberia,NO,Norway,Norway - Ministry of Foreign Affairs,2009,$5237887.39,$0.00,$5237887.39,LCLS
09/12/2012,DRF,TF071179,Multi Donor Trust Fund for Commercial Debt Reduction Program for Liberia,US,United States,United States - Department of the Treasury,2009,$5000000.00,$0.00,$5000000.00,LCLS
09/12/2012,CCC,TF071191,Multi Donor Trust Fund for Communication for Climate Change,IT,Italy,"Ministry of Environment, Land and Sea",2009,$543618.60,$0.00,$543618.60,ACTN
09/12/2012,CASM,TF070610,Multi Donor Trust Fund for Communities and Small-Scale Mining (CASM),GB,United Kingdom,United Kingdom - Department for International Development (DFID),2009,$452200.00,$0.00,$452200.00,ACTN
09/12/2012,AFRSD,TF070431,Multi Donor Trust Fund for Democratic Republic of Congo - Forest (DRC - Forest),GB,United Kingdom,United Kingdom - Department for International Development (DFID),2009,$378625.00,$0.00,$378625.00,LCLS
09/12/2012,MDDMAD,TF070891,Multi Donor Trust Fund for Development Marketplace for African Diaspora in Europe (D-MADE),BE,Belgium,Belgium Directorate General for Development Cooperation (DGDC),2009,$199025.00,$0.00,$199025.00,ACTN
09/12/2012,MDDMAD,TF070891,Multi Donor Trust Fund for Development Marketplace for African Diaspora in Europe (D-MADE),DE,Germany,Germany-Deutsche Gesellschaft Fur Internationale Zusammenarbeit (GIZ),2009,$87484.53,$19.60,$87504.13,ACTN
09/12/2012,MDDMAD,TF070891,Multi Donor Trust Fund for Development Marketplace for African Diaspora in Europe (D-MADE),FR,France,FRENCH MINISTRY OF IMMIGRATION AND NATIONAL IDENTITY,2009,$205365.00,$0.00,$205365.00,ACTN
09/12/2012,FTIE,TF054402,Multi Donor Trust fund for Education for All-Fast Tract Initiative Education Program Development Fund (EPDF),CA,Canada,Canadian International Development  Agency (CIDA),2009,$5650490.25,$0.00,$5650490.25,ACTN
09/12/2012,FTIE,TF054402,Multi Donor Trust fund for Education for All-Fast Tract Initiative Education Program Development Fund (EPDF),ES,Spain,Spain - Ministry of Foreign Affairs,2009,$1408000.00,$0.00,$1408000.00,ACTN
09/12/2012,FTIE,TF054402,Multi Donor Trust fund for Education for All-Fast Tract Initiative Education Program Development Fund (EPDF),LU,Luxembourg,Luxembourg - Ministry of Foreign Affairs,2009,$1068640.00,$0.00,$1068640.00,ACTN
09/12/2012,FTIE,TF054402,Multi Donor Trust fund for Education for All-Fast Tract Initiative Education Program Development Fund (EPDF),NO,Norway,Norway - Ministry of Foreign Affairs,2009,$1421161.09,$0.00,$1421161.09,ACTN
09/12/2012,FTIE,TF054402,Multi Donor Trust fund for Education for All-Fast Tract Initiative Education Program Development Fund (EPDF),RU,Russian Federation,Government of the Russian Federation,2009,$2000000.00,$0.00,$2000000.00,ACTN
